Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Chad,TCD,1994,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,21.5454789828224
Chad,TCD,1993,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,19.2859465338317
Chad,TCD,1992,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,13.3312013020915
Chad,TCD,1991,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,12.7303451037405
Chad,TCD,1990,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,15.4786703187839
Chad,TCD,1989,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,17.5954131365539
Chad,TCD,1988,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,20.0097844519347
Chad,TCD,1987,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,23.064340931533
Chad,TCD,1986,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,19.6838668760964
Chad,TCD,1985,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.0492130208511
Chad,TCD,1984,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,13.8084725520218
Chad,TCD,1983,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,12.235290143232
Chad,TCD,1982,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,2.92983616961583
Chad,TCD,1981,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.35681274099103
Chad,TCD,1980,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,2.37981468274017
Chad,TCD,1979,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.87624435968891
Chad,TCD,1978,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,11.1965740361215
Chad,TCD,1977,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,13.6423530862894
Chad,TCD,1994,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,37.5749692896885
Chad,TCD,1993,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,25.3623950368779
Chad,TCD,1992,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,22.1709084780044
Chad,TCD,1991,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,17.2769873051036
Chad,TCD,1990,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,20.9560598744568
